cbsa20,cbsatype20,CBSAName20,state_puma
42660,Metro,"Seattle-Tacoma-Bellevue, WA",53-11602
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-02002
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03532
41620,Metro,"Salt Lake City, UT",49-35006
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03002
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03403
27260,Metro,"Jacksonville, FL",12-10900
36700,Micro,"Orangeburg, SC",45-01300
24540,Metro,"Greeley, CO",08-00300
27740,Metro,"Johnson City, TN",47-01200
18140,Metro,"Columbus, OH",39-04109
22220,Metro,"Fayetteville-Springdale-Rogers, AR",05-00200
13460,Metro,"Bend, OR",41-00400
17900,Metro,"Columbia, SC",45-00604
24220,Metro,"Grand Forks, ND-MN",27-00100
41780,Micro,"Sandusky, OH",39-00700
36260,Metro,"Ogden-Clearfield, UT",49-11001
39020,Micro,"Portsmouth, OH",39-05100
26420,Metro,"Houston-The Woodlands-Sugar Land, TX",48-04905
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01304
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-00102
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-00109
41180,Metro,"St. Louis, MO-IL",17-01104
49740,Metro,"Yuma, AZ",04-00700
12420,Metro,"Austin-Round Rock-Georgetown, TX",48-05400
27530,Micro,"Jasper, AL",01-01400
40900,Metro,"Sacramento-Roseville-Folsom, CA",06-06711
34580,Metro,"Mount Vernon-Anacortes, WA",53-10200
45500,Metro,"Texarkana, TX-AR",05-02000
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-01300
38900,Metro,"Portland-Vancouver-Hillsboro, OR-WA",41-01200
41620,Metro,"Salt Lake City, UT",49-35003
27140,Metro,"Jackson, MS",28-01000
45860,Micro,"Torrington, CT",09-00500
44660,Micro,"Stillwater, OK",40-01501
35100,Metro,"New Bern, NC",37-04400
